i,j,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20
-15,20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-19,17,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-21,16,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-23,17,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-24,17,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-27,19,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-26,18,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-23,13,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-35,-11,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-25,-19,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-24,-21,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-22,-21,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-21,-20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-17,15,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-18,-20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-9,-21,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
20,4,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-17,-21,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-16,-21,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-15,-21,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-12,-23,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
